OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
SO51796,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,3,1.374,4.122,0,0.3298,0.1031
SO51809,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,1,1.374,1.374,0,0.1099,0.0344
SO51810,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Northeast,4,1.374,5.496,0,0.4397,0.1374
SO51855,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,2,1.374,2.748,0,0.2198,0.0687
SO51873,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Central,2,1.374,2.748,0,0.2198,0.0687
SO53458,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,3,1.374,4.122,0,0.3298,0.1031
SO53460,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,2,1.374,2.748,0,0.2198,0.0687
SO53468,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,2,1.374,2.748,0,0.2198,0.0687
SO53471,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,1,1.374,1.374,0,0.1099,0.0344
SO53472,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,2,1.374,2.748,0,0.2198,0.0687
SO53474,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southeast,6,1.374,8.244,0,0.6595,0.2061
SO53475,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,France,7,1.374,9.618,0,0.7694,0.2405
SO53485,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,2,1.374,2.748,0,0.2198,0.0687
SO53493,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,1,1.374,1.374,0,0.1099,0.0344
SO53524,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southeast,8,1.374,10.992,0,0.8794,0.2748
SO53526,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,1,1.374,1.374,0,0.1099,0.0344
SO53530,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southeast,4,1.374,5.496,0,0.4397,0.1374
SO53546,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,2,1.374,2.748,0,0.2198,0.0687
SO53560,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,6,1.374,8.244,0,0.6595,0.2061
SO53563,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southeast,2,1.374,2.748,0,0.2198,0.0687
SO53564,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,2,1.374,2.748,0,0.2198,0.0687
SO53567,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,1,1.374,1.374,0,0.1099,0.0344
SO53570,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,1,1.374,1.374,0,0.1099,0.0344
SO53589,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,3,1.374,4.122,0,0.3298,0.1031
SO53615,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,1,1.374,1.374,0,0.1099,0.0344
SO53616,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,5,1.374,6.87,0,0.5496,0.1718
SO55249,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,6,1.374,8.244,0,0.6595,0.2061
SO55268,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,3,1.374,4.122,0,0.3298,0.1031
SO55269,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Northwest,4,1.374,5.496,0,0.4397,0.1374
SO55282,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,6,1.374,8.244,0,0.6595,0.2061
SO55294,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,8,1.374,10.992,0,0.8794,0.2748
SO55301,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Northeast,7,1.374,9.618,0,0.7694,0.2405
SO55309,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Germany,6,1.374,8.244,0,0.6595,0.2061
SO55311,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,France,2,1.374,2.748,0,0.2198,0.0687
SO55322,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Southwest,4,1.374,5.496,0,0.4397,0.1374
SO55323,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,United Kingdom,2,1.374,2.748,0,0.2198,0.0687
SO55324,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Central,5,1.374,6.87,0,0.5496,0.1718
SO55328,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,3/30/2013,4/11/2013,4/6/2013,No Discount,Southeast,6,1.374,8.244,0,0.6595,0.2061
SO57012,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,5,1.374,6.87,0,0.5496,0.1718
SO57046,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,6,1.374,8.244,0,0.6595,0.2061
SO57051,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,France,5,1.374,6.87,0,0.5496,0.1718
SO57061,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,France,7,1.374,9.618,0,0.7694,0.2405
SO57065,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,7,1.374,9.618,0,0.7694,0.2405
SO57067,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,2,1.374,2.748,0,0.2198,0.0687
SO57086,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,France,3,1.374,4.122,0,0.3298,0.1031
SO57099,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Northwest,10,1.374,13.74,0,1.0992,0.3435
SO57125,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Northeast,5,1.374,6.87,0,0.5496,0.1718
SO57132,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,4/30/2013,5/12/2013,5/7/2013,No Discount,Germany,5,1.374,6.87,0,0.5496,0.1718
SO58908,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,United Kingdom,3,1.374,4.122,0,0.3298,0.1031
SO58909,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,Southwest,6,1.374,8.244,0,0.6595,0.2061
SO58920,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,United Kingdom,3,1.374,4.122,0,0.3298,0.1031
SO58927,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,France,5,1.374,6.87,0,0.5496,0.1718
SO58946,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,Northwest,8,1.374,10.992,0,0.8794,0.2748
SO58971,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,Southeast,5,1.374,6.87,0,0.5496,0.1718
SO58974,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,Southeast,2,1.374,2.748,0,0.2198,0.0687
SO59011,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,Southwest,4,1.374,5.496,0,0.4397,0.1374
SO59074,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,5/30/2013,6/11/2013,6/6/2013,No Discount,Northeast,10,1.374,13.74,0,1.0992,0.3435
SO61240,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,6/30/2013,7/12/2013,7/7/2013,No Discount,Central,2,1.374,2.748,0,0.2198,0.0687
SO51721,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,Volume Discount 15 to 24,Northwest,24,2.7445,62.5746,3.2934,5.006,1.5644
SO51734,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,Volume Discount 15 to 24,France,18,2.7445,46.931,2.4701,3.7545,1.1733
SO51751,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,Volume Discount 15 to 24,Germany,18,2.7445,46.931,2.4701,3.7545,1.1733
SO51810,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,Volume Discount 15 to 24,Northeast,16,2.7445,41.7164,2.1956,3.3373,1.0429
SO51837,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,Volume Discount 15 to 24,Germany,16,2.7445,41.7164,2.1956,3.3373,1.0429
SO55324,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,3/30/2013,4/11/2013,4/6/2013,Volume Discount 15 to 24,Central,20,2.7445,52.1455,2.7445,4.1716,1.3036
SO57065,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,4/30/2013,5/12/2013,5/7/2013,Volume Discount 15 to 24,Northeast,16,2.7445,41.7164,2.1956,3.3373,1.0429
SO57132,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,4/30/2013,5/12/2013,5/7/2013,Volume Discount 15 to 24,Germany,16,2.7445,41.7164,2.1956,3.3373,1.0429
SO51761,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,Volume Discount 11 to 14,Germany,12,2.8942,34.0358,0.6946,2.7229,0.8509
SO53518,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,Volume Discount 11 to 14,Northwest,13,2.8942,36.8721,0.7525,2.9498,0.9218
SO53524,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,Volume Discount 11 to 14,Southeast,14,2.8942,39.7084,0.8104,3.1767,0.9927
SO53570,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,Volume Discount 11 to 14,Northeast,11,2.8942,31.1995,0.6367,2.496,0.78
SO53616,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,Volume Discount 11 to 14,Southwest,11,2.8942,31.1995,0.6367,2.496,0.78
SO55249,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,3/30/2013,4/11/2013,4/6/2013,Volume Discount 11 to 14,Southwest,12,2.8942,34.0358,0.6946,2.7229,0.8509
SO55254,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,3/30/2013,4/11/2013,4/6/2013,Volume Discount 11 to 14,Germany,14,2.8942,39.7084,0.8104,3.1767,0.9927
SO55311,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,3/30/2013,4/11/2013,4/6/2013,Volume Discount 11 to 14,France,12,2.8942,34.0358,0.6946,2.7229,0.8509
SO57051,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,4/30/2013,5/12/2013,5/7/2013,Volume Discount 11 to 14,France,12,2.8942,34.0358,0.6946,2.7229,0.8509
SO57067,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,4/30/2013,5/12/2013,5/7/2013,Volume Discount 11 to 14,Germany,14,2.8942,39.7084,0.8104,3.1767,0.9927
SO58908,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,5/30/2013,6/11/2013,6/6/2013,Volume Discount 11 to 14,United Kingdom,13,2.8942,36.8721,0.7525,2.9498,0.9218
SO58927,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,5/30/2013,6/11/2013,6/6/2013,Volume Discount 11 to 14,France,12,2.8942,34.0358,0.6946,2.7229,0.8509
SO59074,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,5/30/2013,6/11/2013,6/6/2013,Volume Discount 11 to 14,Northeast,12,2.8942,34.0358,0.6946,2.7229,0.8509
SO51705,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,2,2.994,5.988,0,0.479,0.1497
SO51708,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,France,5,2.994,14.97,0,1.1976,0.3743
SO51712,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,6,2.994,17.964,0,1.4371,0.4491
SO51714,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,6,2.994,17.964,0,1.4371,0.4491
SO51718,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,3,2.994,8.982,0,0.7186,0.2246
SO51728,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,4,2.994,11.976,0,0.9581,0.2994
SO51731,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Central,3,2.994,8.982,0,0.7186,0.2246
SO51739,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,France,7,2.994,20.958,0,1.6766,0.524
SO51742,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,France,1,2.994,2.994,0,0.2395,0.0749
SO51748,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northeast,6,2.994,17.964,0,1.4371,0.4491
SO51753,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Germany,3,2.994,8.982,0,0.7186,0.2246
SO51763,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,United Kingdom,2,2.994,5.988,0,0.479,0.1497
SO51764,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,4,2.994,11.976,0,0.9581,0.2994
SO51771,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,United Kingdom,4,2.994,11.976,0,0.9581,0.2994
SO51773,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,4,2.994,11.976,0,0.9581,0.2994
SO51774,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,France,10,2.994,29.94,0,2.3952,0.7485
SO51775,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,6,2.994,17.964,0,1.4371,0.4491
SO51776,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northeast,9,2.994,26.946,0,2.1557,0.6737
SO51778,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northeast,4,2.994,11.976,0,0.9581,0.2994
SO51780,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,5,2.994,14.97,0,1.1976,0.3743
SO51789,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,8,2.994,23.952,0,1.9162,0.5988
SO51795,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,2,2.994,5.988,0,0.479,0.1497
SO51806,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Australia,3,2.994,8.982,0,0.7186,0.2246
SO51809,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,3,2.994,8.982,0,0.7186,0.2246
SO51812,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,United Kingdom,3,2.994,8.982,0,0.7186,0.2246
SO51821,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,6,2.994,17.964,0,1.4371,0.4491
SO51822,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Central,6,2.994,17.964,0,1.4371,0.4491
SO51828,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Central,4,2.994,11.976,0,0.9581,0.2994
SO51830,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,4,2.994,11.976,0,0.9581,0.2994
SO51834,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Australia,2,2.994,5.988,0,0.479,0.1497
SO51835,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Germany,3,2.994,8.982,0,0.7186,0.2246
SO51844,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,3,2.994,8.982,0,0.7186,0.2246
SO51845,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,7,2.994,20.958,0,1.6766,0.524
SO51855,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southwest,4,2.994,11.976,0,0.9581,0.2994
SO51861,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,France,6,2.994,17.964,0,1.4371,0.4491
SO51864,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,2,2.994,5.988,0,0.479,0.1497
SO53454,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,3,2.994,8.982,0,0.7186,0.2246
SO53458,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,4,2.994,11.976,0,0.9581,0.2994
SO53459,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,4,2.994,11.976,0,0.9581,0.2994
SO53460,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southwest,8,2.994,23.952,0,1.9162,0.5988
SO53468,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,7,2.994,20.958,0,1.6766,0.524
SO53472,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,7,2.994,20.958,0,1.6766,0.524
SO53475,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,France,9,2.994,26.946,0,2.1557,0.6737
SO53480,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,4,2.994,11.976,0,0.9581,0.2994
SO53485,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,6,2.994,17.964,0,1.4371,0.4491
SO53492,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,5,2.994,14.97,0,1.1976,0.3743
SO53499,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Central,3,2.994,8.982,0,0.7186,0.2246
SO53502,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,4,2.994,11.976,0,0.9581,0.2994
SO53505,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Germany,3,2.994,8.982,0,0.7186,0.2246
SO53511,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,United Kingdom,1,2.994,2.994,0,0.2395,0.0749
SO53514,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northwest,8,2.994,23.952,0,1.9162,0.5988
SO53523,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,France,5,2.994,14.97,0,1.1976,0.3743
SO53525,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,France,2,2.994,5.988,0,0.479,0.1497
SO53530,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Southeast,5,2.994,14.97,0,1.1976,0.3743
SO53534,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Northeast,4,2.994,11.976,0,0.9581,0.2994
SO53541,Water Bottle - 30 oz.,NA,Accessories,Bottles and Cages,4.99,2/28/2013,3/12/2013,3/7/2013,No Discount,Australia,5,2.994,14.97,0,1.1976,0.3743
